block 1000, total 27000, active 11911, size 12, leak 142932.
block 200, total 4000, active 1477, size 48, leak 70896.
block 32, total 21536, active 21509, size 340, leak 7313060.
block 1000, total 27000, active 11183, size 12, leak 134196.
block 200, total 7600, active 2996, size 48, leak 143808.
block 32, total 21568, active 21547, size 340, leak 7325980.
block 1000, total 26000, active 10981, size 12, leak 131772.
block 200, total 4600, active 1624, size 48, leak 77952.
block 32, total 21536, active 21513, size 340, leak 7314420.
block 1000, total 27000, active 11411, size 12, leak 136932.
block 200, total 4400, active 2853, size 48, leak 136944.
block 200, total 3000, active 1424, size 48, leak 68352.
block 32, total 21504, active 21504, size 340, leak 7311360.
block 1000, total 26000, active 11023, size 12, leak 132276.
block 200, total 3200, active 1680, size 48, leak 80640.
block 32, total 21504, active 21498, size 340, leak 7309320.
block 1000, total 26000, active 11065, size 12, leak 132780.
block 200, total 5000, active 1666, size 48, leak 79968.
block 32, total 21568, active 21541, size 340, leak 7323940.
block 1000, total 31000, active 15970, size 12, leak 191640.
block 200, total 5000, active 1602, size 48, leak 76896.
block 32, total 21568, active 21545, size 340, leak 7325300.
block 1000, total 27000, active 11389, size 12, leak 136668.
block 200, total 4800, active 1854, size 48, leak 88992.
block 200, total 4400, active 1375, size 48, leak 66000.
block 32, total 21504, active 21503, size 340, leak 7311020.
block 1000, total 29000, active 13950, size 12, leak 167400.
block 200, total 5200, active 2273, size 48, leak 109104.
block 32, total 21536, active 21516, size 340, leak 7315440.
block 1000, total 27000, active 11123, size 12, leak 133476.
block 200, total 7400, active 4115, size 48, leak 197520.
block 32, total 21536, active 21510, size 340, leak 7313400.
block 1000, total 26000, active 11043, size 12, leak 132516.
block 200, total 5200, active 3846, size 48, leak 184608.
block 32, total 21504, active 21492, size 340, leak 7307280.
block 1000, total 26000, active 11087, size 12, leak 133044.
block 200, total 5200, active 3853, size 48, leak 184944.
block 32, total 21568, active 21552, size 340, leak 7327680.
block 1000, total 30000, active 14947, size 12, leak 179364.
